,Case Number,Date,Year,Type,Country,Area,Location,Activity,Sex ,Age,Fatal (Y/N)
1305,2005.11.15,Nov,2005,Provoked,SOUTH AFRICA,Eastern Cape Province,Aston Bay,Fishing for sharks,M,32,N
1306,2005.11.12,Nov,2005,Unprovoked,USA,Florida,"New Smyrna  Beach, Volusia County",Surfing,M,18,N
1307,2005.11.02.b,Nov,2005,Unprovoked,USA,California,"Mavericks, Half Moon Bay, San Mateo County",Surfing,M,25,N
1308,2005.11.02.a,Nov,2005,Unprovoked,USA,California,"Ocean Beach, San Francisco, San Francisco County",Surfing,M,26,N
1309,2005.10.29,Oct,2005,Unprovoked,USA,Florida,"Ponce de Leon Inlet, Volusia County ",Wading,M,15,N
1310,2005.10.25,Oct,2005,Unprovoked,ST. MAARTIN,Simpson Bay,Sunterra Beach,Standing,M,55,N
1311,2005.10.22,Oct,2005,Unprovoked,SOUTH AFRICA,Western Cape Province,Uilenkraalsmond (near Gansbaai),Standing / Surfing,M,20,N
1312,2005.10.21,Oct,2005,Unprovoked,USA,California,"Klamath River mouth, Del Norte County",Surfing,M,36,N
1313,2005.10.19,Oct,2005,Unprovoked,USA,California,"Salmon Beach, Sonoma County",Surfing,F,20,N
1314,2005.10.15,Oct,2005,Provoked,USA,Florida,"Ponce Inlet, Volusia County",Wading,M,15,N
1315,2005.10.13,Oct,2005,Unprovoked,USA,Hawaii,"Honokowai, Maui",Surfing,M,22,N
1316,2005.10.11,Oct,2005,Unprovoked,GRAND CAYMAN,East Wall,Jack McKenney's Canyon,Scuba diving,F,57,N
1317,2005.10.06,Oct,2005,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Treading water/ Surfing,M,48,N
1318,2005.10.03,Oct,2005,Unprovoked,BAHAMAS,Abaco Islands,Grand Cay,Diving,M,35,N
1319,2005.10.01,Oct,2005,Unprovoked,SOUTH AFRICA,Western Cape Province,"Sunny Cove, Fish Hoek",Surf-skiing,M,52,N
1320,2005.09.27.R,Sep,2005,Unprovoked,AUSTRALIA,New South Wales,Arakoon's Little Bay,Surfing,M,28,N
1321,2005.09.24,Sep,2005,Unprovoked,AUSTRALIA,South Australia,Kangaroo Island,Surfing,M,26,N
1322,2005.09.23,Sep,2005,Unprovoked,AUSTRALIA,Western Australia,"Scarborough Beach, Perth",Surfing,M,44,N
1324,2005.09.20,Sep,2005,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Body surfing,F,68,N
1325,2005.09.11,Sep,2005,Unprovoked,USA,South Carolina,Folly Beach,Surfing,M,18,Y
1326,2005.09.07,Sep,2005,Unprovoked,AUSTRALIA,New South Wales,"Park Beach, Coff's Harbour",Standing,M,15,N
1327,2005.09.05,Sep,2005,Unprovoked,USA,North Carolina,"North Topsail Beach, Onslow County",Wading,F,18,N
1328,2005.09.04.a,Sep,2005,Unprovoked,AUSTRALIA,South Australia,"Fishery Bay, Eyre Peninsula",Surfing,M,40,N
1329,2005.09.02.b,Sep,2005,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Standing / Surfing,M,62,N
1330,2005.09.02.a,Sep,2005,Provoked,THAILAND,Unknown,On deck of fishing trawler 100 nautical miles offshore,Removing shark from net,M,21,Y
1331,2005.08.24.b,Aug,2005,Unprovoked,AUSTRALIA,South Australia,Glenelg ,Scuba diving,M,23,Y
1332,2005.08.24.a,Aug,2005,Unprovoked,USA,California,"Scripps, LaJolla, San Diego County",Surfing,M,37,N
1333,2005.08.22,Aug,2005,Invalid,USA,South Carolina,"6th Avenue North, Myrtle Beach, Horry County","Boogie boarding, kicked at object in the water",M,17,N
1334,2005.08.21,Aug,2005,Unprovoked,USA,South Carolina,"34th Avenue North, Myrtle Beach, Horry County",Swimming,M,8,N
1335,2005.08.19,Aug,2005,Unprovoked,USA,Texas,Crystal Beach (east of Galveston),Walking,M,12,N
1337,2005.08.12,Aug,2005,Unprovoked,USA,North Carolina,"Carolina Beach off Texas Avenue, New Hanover County",Surfing,M,16,N
1338,2005.08.06,Aug,2005,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Swimming,M,14,N
1340,2005.07.27,Jul,2005,Unprovoked,USA,Florida,"Off Zelda Boulevard, Daytona Beach, Volusia Countyy",Wading,F,13,N
1341,2005.07.23,Jul,2005,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Surfing,M,61,N
1342,2005.07.22,Jul,2005,Invalid,USA,Florida,"Quarter mile south of Ponce de Leon Inlet, Volusia County",Surfing,M,25,N
1344,2005.07.17.a,Jul,2005,Provoked,CHINA,Shanghai,"Ocean World, Changfeng Park",Scuba diving in aquarium tank,M,24,N
1346,2005.07.15,Jul,2005,Unprovoked,USA,North Carolina,"Holden Beach, Brunswick County",Swimming,M,22,N
1347,2005.07.13,Jul,2005,Unprovoked,USA,Texas,"Port Bolivar, Galveston County",Holding onto an inflatable boat,F,14,N
1348,2005.07.01,Jul,2005,Unprovoked,USA,Florida,"Boca Grande, Lee County",Standing,M,19,N
1349,2005.06.27,Jun,2005,Unprovoked,USA,Florida,"Cape San Blas, Gulf County",Fishing,M,16,N
1350,2005.06.25,Jun,2005,Unprovoked,USA,Florida,"Destin, Walton County",Swimming with boogie board,F,14,Y
1351,2005.06.22,Jun,2005,Unprovoked,VANUATU,Malampa Province,Atchin Island off Malakula,Swimming,F,7,Y
1353,2005.06.18,Jun,2005,Invalid,USA,Hawaii,Maui,Swimming,M,49,N
1354,2005.06.16,Jun,2005,Unprovoked,USA,Florida,"Howard E. Futch Memorial Park at Paradise Beach, Brevard County",Swimming,M,20,N
1355,2005.06.13,Jun,2005,Unprovoked,SOUTH KOREA,South Ch'ungch'ong Province,Dando/Kaeui Island ,Diving,F,38,N
1356,2005.06.07,Jun,2005,Unprovoked,USA,South Carolina,"Kiawah Island, Charleston County",Boogie boarding,F,11,N
1357,2005.06.05,Jun,2005,Invalid,USA,New Jersey,"Surf City, Long Beach Island, Ocean County",Surfing,M,17,N
1358,2005.06.04,Jun,2005,Unprovoked,SOUTH AFRICA,Western Cape Province,Miller's Point,Spearfishing (Free diving),M,22,Y
1359,2005.06.02,Jun,2005,Unprovoked,USA,Texas,"Mustang Island, Corpus Christi",Wading,M,6,N
1360,2005.05.28,May,2005,Unprovoked,USA,Florida,Daytona Beach Shores,Swimming,M,33,N
1362,2005.05.25,May,2005,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Kei River Mouth,Surfing,M,32,N
1367,2005.05.02,May,2005,Unprovoked,USA,Hawaii,"Noreiga's, Maui",Surfing,M,47,N
1368,2005.04.25,Apr,2005,Provoked,AUSTRALIA,New South Wales,Bermagui,Fishing,M,25,N
1370,2005.04.16.b,Apr,2005,Unprovoked,AUSTRALIA,Northern Territory,Bremer Island,Spearfishing,M,20,N
1371,2005.04.16.a,Apr,2005,Unprovoked,AUSTRALIA,New South Wales,Bronte Beach,Surfing,M,40,N
1372,2005.04.13,Apr,2005,Unprovoked,USA,Florida,"Crescent Beach, Sarasota County",Wading,F,70,N
1373,2005.04.09,Apr,2005,Invalid,USA,Florida,"Central Gulf Coast, St. John County",Surfing,M,52,N
1374,2005.04.07,Apr,2005,Unprovoked,USA,Texas,"Isla Blanca Park, South Padre Island, Cameron County",Surfing,M,37,N
1377,2005.03.28,Mar,2005,Unprovoked,SOUTH AFRICA,Western Cape Province,Noordhoek,Surfing,M,32,N
1380,2005.03.19,Mar,2005,Unprovoked,AUSTRALIA,Western Australia,"Wreck Point, Abrolhos Islands",Snorkeling,M,26,Y
1381,2005.03.12,Mar,2005,Provoked,USA,New Mexico,"Albuquerue Aquarium, Albuquerue",Diving in aquarium display tank,M,45,N
1382,2005.03.10,Mar,2005,Invalid,SOUTH AFRICA,KwaZulu-Natal,Isipingo,Unknown,M,51,N
1385,2005.02.26,Feb,2005,Unprovoked,AUSTRALIA,Queensland,Brisbane River,Swimming,M,18,N
1389,2005.02.04,Feb,2005,Unprovoked,BRAZIL,Bahia,Ilh�us,Surfing,M,12,N
1390,2005.01.20,Jan,2005,Unprovoked,CUBA,Santiago de Cuba Province,Uvero,Swimming,M,19,N
1393,2005.01.08,Jan,2005,Unprovoked,NEW ZEALAND,North Island,Taupiri Bay,Fishing from a kayak,M,39,N
1394,2004.12.26,Dec,2004,Invalid,SRI LANKA,Eastern Province,Pasikudha,"Swept out to sea by the tsunami, she clung  to a log for 24 hours",F,11,N
1395,2004.12.16,Dec,2004,Unprovoked,AUSTRALIA,South Australia,"West Beach, Adelaide",Scurfing (surfboard being  towed behind a boat),M,18,Y
1396,2004.12.11,Dec,2004,Unprovoked,AUSTRALIA,Queensland,Opal Reef,Spearfishing,M,38,Y
1397,2004.11.27,Nov,2004,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Surfing,M,20,N
1398,2004.11.26,Nov,2004,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Gonubie,Playing,M,16,N
1399,2004.11.15,Nov,2004,Unprovoked,SOUTH AFRICA,Western Cape Province,"Fish Hoek, False Bay",Swimming,F,77,Y
1400,2004.11.11.b,Nov,2004,Unprovoked,USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Surfing,lli,38,N
1401,2004.11.11.a,Nov,2004,Unprovoked,VANUATU,Malampa Province,Malakula (Malakula Island),Snorkeling,M,30,N
1403,2004.10.31,Oct,2004,Unprovoked,CUBA,Camaguey Province,Santa Lucia,Diving,M,40,N
1405,2004.10.30.a,Oct,2004,Unprovoked,SOUTH AFRICA,Western Cape Province,Gansbaai,Chumming for white sharks,M,52,N
1406,2004.10.21,Oct,2004,Unprovoked,AUSTRALIA,New South Wales,Stockton Beach,Surfing,M,59,N
1408,2004.10.09.b,Oct,2004,Unprovoked,USA,Hawaii,Moloka'i,Spearfishing,M,34,N
1409,2004.10.09.a,Oct,2004,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Jeffrey�s Bay,Surfing,M,34,N
1410,2004.10.06,Oct,2004,Unprovoked,REUNION,Conservat�ria District,"P' tit Paris, Saint-Pierre",Body boarding,M,15,N
1411,2004.10.02,Oct,2004,Unprovoked,USA,California,"Pismo Beach, San Luis Obispo County",Surfing,M,16,N
1412,2004.10.01,Oct,2004,Unprovoked,USA,California,"Lifeguard Tower 16, Huntington Beach, Orange County",Surfing,M,40,N
1414,2004.09.20,Sep,2004,Unprovoked,USA,Oregon,Gold  Beach,Surfing,M,26,N
1417,2004.09.04,Sep,2004,Unprovoked,USA,South Carolina ,"North of Apache Pier, Myrtle Beach, Horry County",Jumping,F,17,N
1418,2004.08.29,Aug,2004,Unprovoked,USA,Florida,"New Smyrna Beach / Cape Canaveral  National Seashore, Brevard County",Walking,F,38,N
1419,2004.08.21,Aug,2004,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Bathing,M,24,N
1421,2004.08.15,Aug,2004,Unprovoked,USA,California,"Kibesillah, Mendocino County",Diving,M,50,Y
1422,2004.08.06,Aug,2004,Unprovoked,USA,Florida,"Big Bayou, St. Petersburg, Pinellas County ",Swimming,M,47,N
1423,2004.08.03,Aug,2004,Unprovoked,AUSTRALIA,New South Wales,Byron Bay,Spearfishing,M,30,N
1425,2004.07.31,Jul,2004,Unprovoked,USA,Florida,"Cocoa  Beach, Brevard County",Surfing,F,20,N
1427,2004.07.28,Jul,2004,Unprovoked,USA,North Carolina,"Rodanthe, Dare County",Surfing,F,28,N
1428,2004.07.27.b,Jul,2004,Unprovoked,USA,North Carolina,"Carolina Beach, New Hanover County",Swimming,F,13,N
1429,2004.07.27.a,Jul,2004,Unprovoked,USA,Texas,Galveston Island,Swimming,F,19,N
1430,2004.07.25,Jul,2004,Unprovoked,USA,Texas,"Bryan Beach, Brazoria County",Wading / fishing & carrying a bag of fish,M,11,N
1432,2004.07.15,Jul,2004,Unprovoked,JAPAN,Wakayama Prefecture,Susami,Fishing for squid aboard the trawler Shikishima-Maru when the shark leapt into the boat,M,51,N
1433,2004.07.10,Jul,2004,Unprovoked,AUSTRALIA,Western Australia,"Lefthanders Beach, Margaret River",Surfing,M,30,Y
1435,2004.07.02.a,Jul,2004,Unprovoked,USA,Alabama,"Gulf Shores Beach, Baldwin County",Wading,M,7,N
1436,2004.06.26.b,Jun,2004,Unprovoked,USA,California,"San Onofre State Beach, San Diego County",Surfing,M,45,N
1439,2004.06.10.b,Jun,2004,Unprovoked,AUSTRALIA,Western Australia,Bunbury,Body boarding,M,17,N
1440,2004.06.10.a,Jun,2004,Unprovoked,USA,Florida,"Daytona Beach Shores, Volusia County",Swimming,M,8,N
1441,2004.06.02,Jun,2004,Unprovoked,SOUTH AFRICA,Western Cape Province,Dyer Island,"Swimming, poaching perlemoen",M,21,Y
1442,2004.05.29,May,2004,Unprovoked,USA,Texas,"Pirate's Beach, Galveston Island",Wading,M,16,N
1443,2004.05.23.b,May,2004,Unprovoked,BRAZIL,Pernambuco,Piedade Beach,Swimming,M,17,N
1444,2004.05.28,May,2004,Unprovoked,USA,California,"Salmon Creek, Sonoma County",Surfing,M,44,N
1445,2004.05.23.a,May,2004,Unprovoked,USA,Florida,"St. Augustine, St. John's County",Boogie-boarding / swimming,M,9,N
1446,2004.05.22.c,May,2004,Invalid,USA,Florida,St. Augustine  St. Johns County,Swimming,M,9,N
1447,2004.05.22.b,May,2004,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",Unknown,F,9,N
1448,2004.05.22.a,May,2004,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Recife",Wading,F,24,N
1449,2004.05.18,May,2004,Provoked,BAHAMAS,Abaco Islands,Green Turtle Cay,Free diving & spearfishing,M,63,N
1450,2004.05.04,May,2004,Unprovoked,USA,Texas,Channel between South Padre Island & Padre Island National Seashore,Tandem surfing,M,28,N
1451,2004.05.01,May,2004,Unprovoked,BRAZIL,Pernambuco,Piedade ,Swimming,M,22,Y
1456,2004.04.07,Apr,2004,Unprovoked,USA,Hawaii,"Kahana Beach, Maui",Surfing,M,57,Y
1457,2004.04.05,Apr,2004,Unprovoked,SOUTH AFRICA,Western Cape Province,"Surfers' Corner, Muizenberg, False Bay",Surfing,M,16,N
1458,2004.04.04,Apr,2004,Invalid,USA,Hawaii,Velzyland,Surfing,F,22,Y
1459,2004.03.31.b,Mar,2004,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Unknown,M,26,N
1460,2004.03.31.a,Mar,2004,Unprovoked,USA,Florida,"Stuart Rocks, Martin County",Surfing,M,20,N
1461,2004.03.29,Mar,2004,Unprovoked,BRAZIL,Pernambuco,Piedade Beach,Body boarding,M,22,N
1463,2004.03.27.b,Mar,2004,Unprovoked,REUNION,Saint-Beno�t,Spot de la gare,Surfing,M,20,N
1464,2004.03.27.a,Mar,2004,Unprovoked,USA,Florida,"Sanibel Island, Lee County",Swimming,M,61,N
1467,2004.03.16,Mar,2004,Unprovoked,USA,Hawaii,"Kalihiwai Beach, Kauai",Surfing,M,51,N
1468,2004.03.06,Mar,2004,Unprovoked,AUSTRALIA,Western Australia,5 nm off Cervantes,Spearfishing,M,47,N
1469,2004.02.29,Feb,2004,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Recife",Swimming,M,29,Y
1470,2004.02.26,Feb,2004,Unprovoked,NEW ZEALAND,"South Island, near Karitane north of Dunedin",South Beach,Surfing,M,15,N
1472,2004.02.16,Feb,2004,Invalid,AUSTRALIA,Queensland,"Fido's Reef, 300 m east of Cook Island. Cook Island is 2 miles from Tweed Heads, Gold Coast",Free diving & spearfishing,M,31,N
1474,2004.02.11,Feb,2004,Unprovoked,AUSTRALIA,New South Wales,Caves Beach,Snorkeling,M,22,N
1475,2004.01.25,Jan,2004,Unprovoked,AUSTRALIA,Western Australia,Binningup,Scuba diving,M,46,N
1476,2004.01.23,Jan,2004,Unprovoked,URUGUAY,Rocha,Ensenada de la Coronilla,Surfing,M,21,N
1479,2004.01.21.a,Jan,2004,Unprovoked,VENEZUELA,Anzoategui,"Santa Cruz Beach, Mochima National Park, 250 km from Caracas",Spearfishing,M,40,N
1482,2004.01.07,Jan,2004,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"West Beach, Port Alfred",Surfing,M,22,N
1487,2003.12.26,Dec,2003,Invalid,USA,Florida,"Miami, Dade County",Swimming,M,28,N
1488,2003.12.13.b,Dec,2003,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,M,13,N
1489,2003.12.13.a,Dec,2003,Unprovoked,NEW ZEALAND,Cook Islands,Pukapuka Northern Group,Swimming / shipwreck,M,45,Y
1490,2003.12.08,Dec,2003,Unprovoked,AUSTRALIA,Victoria,Collendina Beach east of Ocean Grove,Surfing amid a shoal of sharks,M,36,N
1493,2003.11.27,Nov,2003,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Sodwana,Spearfishing,M,21,Y
1494,2003.11.22,Nov,2003,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Surfing,F,35,N
1495,2003.11.12.b,Nov,2003,Unprovoked,INDIA,Tamilnadu,"Mahabalipuram beach, 37 km south of Chennai",Swimming or surfing,M,35,N
1496,2003.11.12.a,Nov,2003,Unprovoked,USA,Florida,"South Jetty, New Smyrna Beach, Volusia County",Surfing,M,24,N
1501,2003.10.31.c,Oct,2003,Unprovoked,USA,Florida,"Ponte Vedra Beach, St. Johns County",Surfing,M,18,N
1502,2003.10.31.b,Oct,2003,Unprovoked,AUSTRALIA,New South Wales,"Lighthouse Beach, Seal Rocks",Surfing,M,22,N
1503,2003.10.31.a,Oct,2003,Unprovoked,USA,Hawaii,"Tunnels surf break off Makua Beach, Kaua'i",Surfing,F,13,N
1504,2003.10.27,Oct,2003,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,46,N
1505,2003.10.24,Oct,2003,Invalid,USA,Hawaii,Honolua Bay,Snorkeling,M,56,N
1506,2003.10.14,Oct,2003,Unprovoked,USA,Florida,Near Patrick Air Force Base Brevard County,Surfing,M,19,N
1509,2003.10.05.d,Oct,2003,Unprovoked,USA,Florida,"Stuart Park Beach, Martin County",Surfing,M,18,N
1510,2003.10.05.c,Oct,2003,Provoked,USA,Florida,"South Jetty, New Smyrna Beach, Volusia County",Surfing,M,30,N
1511,2003.10.05.b,Oct,2003,Unprovoked,USA,Florida,"Crawford Road beach approach at New Smyrna Beach, Volusia County",Sitting on surfboard,M,50,N
1512,2003.10.05.a,Oct,2003,Unprovoked,USA,Hawaii,"Cove Beach / Kalama Beach, Kihei, Maui",Wading near a fishing net,F,41,N
1513,2003.09.29,Sep,2003,Unprovoked,FIJI,Taveuni,Welagi coastal reef off Drekeniwai,Wading to shore from his boat,M,40,Y
1514,2003.09.28,Sep,2003,Unprovoked,USA,Florida,"North Hutchinson Island, St. Lucie Couny",Surfing,M,16,N
1515,2003.09.21,Sep,2003,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,21,N
1516,2003.09.19,Sep,2003,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,19,N
1517,2003.09.17,Sep,2003,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,17,N
1518,2003.09.14.c,Sep,2003,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,30,N
1521,2003.09.13.b,Sep,2003,Unprovoked,USA,Florida,"Daytona Beach, Volusia County ",Body boarding,M,18,N
1522,2003.09.13.a,Sep,2003,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County","Standing, stepped on shark",M,15,N
1523,2003.09.12,Sep,2003,Unprovoked,SOUTH AFRICA,Western Cape Province,Near the wreck of the Kakapo off Noordhoek Beach,Body boarding,M,19,Y
1526,2003.08.19,Aug,2003,Unprovoked,USA,California,"Avila Beach, San Luis Obispo County","Swimming, wearing black wetsuit & swim fins",F,50,Y
1527,2003.08.12,Aug,2003,Invalid,USA,California,"Venice Beach, Los Angeles County",Swimming,M,31,N
1528,2003.08.08,Aug,2003,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Jeffrey�s Bay,Sitting on surfboard,M,16,N
1529,2003.07.26.R,Jul,2003,Unprovoked,AUSTRALIA,Northern Territory,Nhulunbuy,Surf skiing,M,37,N
1530,2003.07.20,Jul,2003,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,18,N
1531,2003.07.15,Jul,2003,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Wading,F,15,N
1532,2003.07.09,Jul,2003,Unprovoked,BAHAMAS,Abaco Islands,Bakers Bay,Spearfishing,M,58,N
1533,2003.07.05.b,Jul,2003,Provoked,USA,Florida,"Near New Smyrna Jetty, Volusia County","Walking, carrying surfboard & stepped on shark",M,10,N
1534,2003.07.05.a,Jul,2003,Unprovoked,USA,Florida,"Canova Beach, Brevard County",Surfing,M,21,N
1535,2003.07.04,Jul,2003,Unprovoked,BAHAMAS,Abaco Islands,10 miles west of Walker�s Cay,Spearfishing,M,39,N
1539,2003.06.30,Jun,2003,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,17,N
1540,2003.06.26,Jun,2003,Unprovoked,USA,Florida,St Augustine Beach. St. Johns County,Surfing,M,15,N
1542,2003.06.24.b,Jun,2003,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Standing,F,12,N
1543,2003.06.24.a,Jun,2003,Unprovoked,USA,Hawaii,"Makua Beach, Oahu",Swimming with pod of dolphins,M,60,N
1544,2003.06.22,Jun,2003,Unprovoked,USA,Johnston Atoll,Unknown,Swimming,M,51,N
1545,2003.06.19,Jun,2003,Unprovoked,USA,North Carolina,"Masonboro Island, New Hanover County",Surfing ,M,33,N
1546,2003.06.08,Jun,2003,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,Unknown,15,N
1548,2003.05.25,May,2003,Unprovoked,USA,Florida,"Coral Cove Park, Jupiter Inlet, Palm Beach County",Surfing,M,18,N
1549,2003.05.14,May,2003,Unprovoked,USA,Florida,"Ponce de Leon Inlet, Volusia County ",Wading,M,22,N
1550,2003.05.10,May,2003,Unprovoked,USA,Hawaii,Between Magic Sands Beach and Kahaluu Beach on the Kona coast,Swimming,M,20,N
1551,2003.05.07,May,2003,Provoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,34,N
1552,2003.05.03,May,2003,Unprovoked,USA,Florida,"Daytona Beach Shores, Volusia County",Walking,F,9,N
1555,2003.04.25,Apr,2003,Unprovoked,BRAZIL,Rio de Janeiro,"Copacabana Beach, Rio de Janiero",Swimming ,M,16,N
1556,2003.04.23.b,Apr,2003,Unprovoked,BRAZIL,Pernambuco,"Pau Amarelo Beach, Paulista District (17 km from Recife)",Surfing,M,17,N
1557,2003.04.23.a,Apr,2003,Unprovoked,BRAZIL,Rio de Janeiro,"Copacabana Beach, Rio de Janiero",Swimming,M,7,N
1558,2003.04.21.b,Apr,2003,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County ",Surfing,M,36,N
1559,2003.04.21.a,Apr,2003,Unprovoked,USA,Florida,"Shepard Park, Cocoa Beach, Brevard County ",Surfing,M,17,N
1560,2003.04.20.c,Apr,2003,Unprovoked,USA,Florida,"Playalinda Beach, Brevard County",Surfing,M,30,N
1561,2003.04.20.b,Apr,2003,Unprovoked,USA,Florida,"Sunglow Pier, Daytona Beach Shores, Volusia County",Surfing,M,23,N
1562,2003.04.20.a,Apr,2003,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,18,N
1563,2003.04.19,Apr,2003,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County  ",Jumping,M,11,N
1564,2003.04.18,Apr,2003,Unprovoked,USA,Florida,"North Beach, Patrick AFB, Brevard County",Surfing,M,12,N
1565,2003.04.15,Apr,2003,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Swimming (using a float),M,20,N
1566,2003.04.11,Apr,2003,Unprovoked,VENEZUELA,Nueva Esparta,"El Yaqu, Isla de Margarita",Surfing,M,28,N
1568,2003.04.04,Apr,2003,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,50,N
1570,2003.02.27,Feb,2003,Unprovoked,NEW ZEALAND,Southland,East side of Bench Island in the Foveaux Strait,Scuba diving,M,44,N
1571,2003.02.15.b,Feb,2003,Unprovoked,AUSTRALIA,South Australia,"Goolwa Beach, Fleurieu Peninsula",Wading,M,37,N
1572,2003.02.15.a,Feb,2003,Unprovoked,USA,Florida,"Jupiter, Palm Beach County",Swimming,M,54,N
1573,2003.02.11,Feb,2003,Unprovoked,AUSTRALIA,New South Wales,"Coogee Bay, near Sydney",Swimming,M,24,N
1574,2003.02.08,Feb,2003,Unprovoked,AUSTRALIA,Queensland,Burleigh Lake on the Gold Coast,Swimming,M,84,Y
1575,2003.01.17,Jan,2003,Invalid,SOUTH AFRICA,Western Cape Province,"Near the lagoon at Table View, Cape Peninsula",Unknown,M,14,Y
1578,2002.12.29,Dec,2002,Unprovoked,AUSTRALIA,Queensland,Great Barrier Reef  (near Upolu Bay),Snorkeling,F,18,N
1579,2002.12.24,Dec,2002,Unprovoked,SOUTH AFRICA,Western Cape Province,Scarborough,Snorkeling,M,25,N
1580,2002.12.21,Dec,2002,Unprovoked,AUSTRALIA,Queensland,Depth of 40 m on the wreck of the St. Paul off Brisbane,Scuba diving,M,26,N
1581,2002.12.20,Dec,2002,Invalid,AUSTRALIA,Queensland,Golden Beach,Swimming,M,11,N
1582,2002.12.16,Dec,2002,Unprovoked,AUSTRALIA,Queensland,Miami Lake,Swimming,M,23,Y
1583,2002.12.01,Dec,2002,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Surfing,M,19,Y
1585,2002.11.28.a,Nov,2002,Unprovoked,USA,California,"Salmon Creek, Sonoma County",Body boarding,M,48,N
1586,2002.11.17,Nov,2002,Unprovoked,USA,Hawaii,Ka'anapali,Swimming,F,34,N
1587,2002.11.14,Nov,2002,Unprovoked,TURKS & CAICOS,Caicos Bank,French Cay,Snorkeling,F,41,N
1588,2002.11.11,Nov,2002,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,21,N
1589,2002.11.02,Nov,2002,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Boogie boarding,M,16,N
1591,2002.10.30,Oct,2002,Unprovoked,USA,Hawaii,"Kama'ole Beach Park I, Kihei, Maui",Swimming,F,60,N
1592,2002.10.14,Oct,2002,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Jaboat�o dos Guararapes City, Recife",Swimming,M,36,Y
1593,2002.10.11,Oct,2002,Unprovoked,USA,Florida,"Opposite main gate at Patrick Air Force Base, Cape Canaveral, Brevard County",Surfing,M,21,N
1594,2002.10.05.b,Oct,2002,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,14,N
1595,2002.10.05.a,Oct,2002,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,35,N
1596,2002.10.03,Oct,2002,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,18,N
1597,2002.09.30,Sep,2002,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Surfing,M,47,N
1598,2002.09.29,Sep,2002,Unprovoked,USA,Florida,"Sebastian Inlet, Brevard County",Surfing,M,32,N
1599,2002.09.27.c,Sep,2002,Unprovoked,USA,Hawaii,"Kahala, O'ahu",Fishing from Surfboard,M,55,N
1602,2002.09.21.b,Sep,2002,Unprovoked,USA,Oregon,Cape Kiwanda,Boogie boarding or Surfing,M,24,N
1603,2002.09.21.a,Sep,2002,Unprovoked,USA,California,"Moonstone Beach, Humboldt County",Surfing,M,35,N
