,DownVotes,Outlier,Reputation,UpVotes,Views,postId,userId
1155,126,Reputation,14082,4235,3320,74,88
1156,126,Reputation,14082,4235,3320,94,88
1157,126,Reputation,14082,4235,3320,99,88
1158,126,Reputation,14082,4235,3320,119,88
1159,126,Reputation,14082,4235,3320,140,88
1160,126,Reputation,14082,4235,3320,143,88
1161,126,Reputation,14082,4235,3320,255,88
1162,126,Reputation,14082,4235,3320,265,88
1163,126,Reputation,14082,4235,3320,275,88
1164,126,Reputation,14082,4235,3320,309,88
1165,126,Reputation,14082,4235,3320,337,88
1166,126,Reputation,14082,4235,3320,341,88
1167,126,Reputation,14082,4235,3320,343,88
1168,126,Reputation,14082,4235,3320,344,88
1169,126,Reputation,14082,4235,3320,358,88
1170,126,Reputation,14082,4235,3320,360,88
1171,126,Reputation,14082,4235,3320,380,88
1172,126,Reputation,14082,4235,3320,424,88
1173,126,Reputation,14082,4235,3320,435,88
1174,126,Reputation,14082,4235,3320,450,88
1175,126,Reputation,14082,4235,3320,462,88
1176,126,Reputation,14082,4235,3320,464,88
1177,126,Reputation,14082,4235,3320,483,88
1178,126,Reputation,14082,4235,3320,494,88
1179,126,Reputation,14082,4235,3320,501,88
1180,126,Reputation,14082,4235,3320,505,88
1181,126,Reputation,14082,4235,3320,518,88
1182,126,Reputation,14082,4235,3320,526,88
1183,126,Reputation,14082,4235,3320,547,88
1184,126,Reputation,14082,4235,3320,559,88
1185,126,Reputation,14082,4235,3320,565,88
1186,126,Reputation,14082,4235,3320,574,88
1187,126,Reputation,14082,4235,3320,579,88
1188,126,Reputation,14082,4235,3320,602,88
1189,126,Reputation,14082,4235,3320,605,88
1190,126,Reputation,14082,4235,3320,615,88
1191,126,Reputation,14082,4235,3320,621,88
1192,126,Reputation,14082,4235,3320,631,88
1193,126,Reputation,14082,4235,3320,636,88
1194,126,Reputation,14082,4235,3320,654,88
1195,126,Reputation,14082,4235,3320,658,88
1196,126,Reputation,14082,4235,3320,667,88
1197,126,Reputation,14082,4235,3320,733,88
1198,126,Reputation,14082,4235,3320,734,88
1199,126,Reputation,14082,4235,3320,759,88
1200,126,Reputation,14082,4235,3320,771,88
1201,126,Reputation,14082,4235,3320,792,88
1202,126,Reputation,14082,4235,3320,842,88
1203,126,Reputation,14082,4235,3320,850,88
1204,126,Reputation,14082,4235,3320,908,88
1205,126,Reputation,14082,4235,3320,910,88
1206,126,Reputation,14082,4235,3320,914,88
1207,126,Reputation,14082,4235,3320,930,88
1208,126,Reputation,14082,4235,3320,960,88
1209,126,Reputation,14082,4235,3320,1004,88
1210,126,Reputation,14082,4235,3320,1018,88
1211,126,Reputation,14082,4235,3320,1019,88
1212,126,Reputation,14082,4235,3320,1020,88
1213,126,Reputation,14082,4235,3320,1021,88
1214,126,Reputation,14082,4235,3320,1106,88
1215,126,Reputation,14082,4235,3320,1183,88
1216,126,Reputation,14082,4235,3320,1263,88
1217,126,Reputation,14082,4235,3320,1290,88
1218,126,Reputation,14082,4235,3320,1294,88
1219,126,Reputation,14082,4235,3320,1322,88
1220,126,Reputation,14082,4235,3320,1362,88
1221,126,Reputation,14082,4235,3320,1372,88
1222,126,Reputation,14082,4235,3320,1373,88
1223,126,Reputation,14082,4235,3320,1374,88
1224,126,Reputation,14082,4235,3320,1702,88
1225,126,Reputation,14082,4235,3320,1712,88
1226,126,Reputation,14082,4235,3320,1765,88
1227,126,Reputation,14082,4235,3320,1791,88
1228,126,Reputation,14082,4235,3320,1798,88
1229,126,Reputation,14082,4235,3320,1840,88
1230,126,Reputation,14082,4235,3320,1858,88
1231,126,Reputation,14082,4235,3320,1890,88
1232,126,Reputation,14082,4235,3320,1946,88
1233,126,Reputation,14082,4235,3320,1950,88
1234,126,Reputation,14082,4235,3320,1984,88
1235,126,Reputation,14082,4235,3320,2097,88
1236,126,Reputation,14082,4235,3320,2157,88
1237,126,Reputation,14082,4235,3320,2179,88
1238,126,Reputation,14082,4235,3320,2206,88
1239,126,Reputation,14082,4235,3320,2225,88
1240,126,Reputation,14082,4235,3320,2246,88
1241,126,Reputation,14082,4235,3320,2254,88
1242,126,Reputation,14082,4235,3320,2340,88
1243,126,Reputation,14082,4235,3320,2355,88
1244,126,Reputation,14082,4235,3320,2359,88
1245,126,Reputation,14082,4235,3320,2362,88
1246,126,Reputation,14082,4235,3320,2416,88
1247,126,Reputation,14082,4235,3320,2417,88
1248,126,Reputation,14082,4235,3320,2435,88
1249,126,Reputation,14082,4235,3320,2436,88
1250,126,Reputation,14082,4235,3320,2455,88
1251,126,Reputation,14082,4235,3320,2694,88
1252,126,Reputation,14082,4235,3320,2712,88
1253,126,Reputation,14082,4235,3320,2718,88
1254,126,Reputation,14082,4235,3320,2729,88
1255,126,Reputation,14082,4235,3320,2735,88
